Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2021-01-04 00:00:00-05:00,364.4602580013125,364.59622500252607,354.2735201789217,358.1287536621094,110210800,0.0,0.0,0.0
2021-01-05 00:00:00-05:00,357.45870057712943,361.7314962161012,357.4101282326668,360.5953063964844,66426200,0.0,0.0,0.0
2021-01-06 00:00:00-05:00,359.0221120558197,366.0819639048969,358.4491718155492,362.7510986328125,107997700,0.0,0.0,0.0
2021-01-07 00:00:00-05:00,365.227412386187,368.9175471540739,365.0429026842574,368.14068603515625,68766800,0.0,0.0,0.0
2021-01-08 00:00:00-05:00,369.5876065707011,370.46158274803236,366.19850767138945,370.2382507324219,71677200,0.0,0.0,0.0
2021-01-11 00:00:00-05:00,366.9268406041424,369.57790079238816,366.8005939979681,367.7425537109375,51034700,0.0,0.0,0.0
2021-01-12 00:00:00-05:00,367.9367462633503,368.87867624482453,365.47985716241453,367.8201904296875,52547700,0.0,0.0,0.0
2021-01-13 00:00:00-05:00,367.74252374835936,369.8497750270491,366.92681070802615,368.81072998046875,45303600,0.0,0.0,0.0
2021-01-14 00:00:00-05:00,369.5875940242524,370.11199156699024,367.1695864341382,367.5191650390625,49989100,0.0,0.0,0.0
2021-01-15 00:00:00-05:00,365.82946104947956,366.66458521770295,362.8967764304867,364.8389587402344,107160000,0.0,0.0,0.0
2021-01-19 00:00:00-05:00,367.4026384173929,368.2669238041645,365.85860697670614,367.70367431640625,51233300,0.0,0.0,0.0
2021-01-20 00:00:00-05:00,370.09254389110606,373.6661819419493,369.6847021929487,372.7922058105469,61836100,0.0,0.0,0.0
2021-01-21 00:00:00-05:00,373.3748528825971,373.8215761802793,372.1707092557282,373.132080078125,47840100,0.0,0.0,0.0
2021-01-22 00:00:00-05:00,371.1996091728723,373.02526536055854,370.80145822680436,371.8114013671875,52860500,0.0,0.0,0.0
2021-01-25 00:00:00-05:00,372.57864504802484,373.64682186417235,367.51923759029734,373.27783203125,70402000,0.0,0.0,0.0
2021-01-26 00:00:00-05:00,374.26829252117903,374.69557505376906,372.4523565753485,372.69512939453125,42665300,0.0,0.0,0.0
