Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2021-01-04 00:00:00-05:00,364.46019588709083,364.5961628651318,354.27345980080497,358.1286926269531,110210800,0.0,0.0,0.0
2021-01-05 00:00:00-05:00,357.4586703250057,361.73146560236614,357.4100979846538,360.59527587890625,66426200,0.0,0.0,0.0
2021-01-06 00:00:00-05:00,359.0221422596851,366.08199470269454,358.44920197121417,362.7511291503906,107997700,0.0,0.0,0.0
2021-01-07 00:00:00-05:00,365.2274426622648,368.9175777360511,365.0429329450401,368.1407165527344,68766800,0.0,0.0,0.0
2021-01-08 00:00:00-05:00,369.587545642806,370.461521676059,366.19844730219995,370.2381896972656,71677200,0.0,0.0,0.0
2021-01-11 00:00:00-05:00,366.9268101542572,369.57787012250145,366.80056355855965,367.7425231933594,51034700,0.0,0.0,0.0
2021-01-12 00:00:00-05:00,367.93671573610175,368.87864563942526,365.47982683901097,367.8201599121094,52547700,0.0,0.0,0.0
2021-01-13 00:00:00-05:00,367.74255417754773,369.8498056306039,366.9268410697176,368.8107604980469,45303600,0.0,0.0,0.0
2021-01-14 00:00:00-05:00,369.5875940242524,370.11199156699024,367.1695864341382,367.5191650390625,49989100,0.0,0.0,0.0
2021-01-15 00:00:00-05:00,365.82952225034035,366.6646465582745,362.8968371407286,364.8390197753906,107160000,0.0,0.0,0.0
2021-01-19 00:00:00-05:00,367.4026079247992,368.2668932398394,365.8585766122594,367.7036437988281,51233300,0.0,0.0,0.0
2021-01-20 00:00:00-05:00,370.09254389110606,373.6661819419493,369.6847021929487,372.7922058105469,61836100,0.0,0.0,0.0
2021-01-21 00:00:00-05:00,373.3748528825971,373.8215761802793,372.1707092557282,373.132080078125,47840100,0.0,0.0,0.0
2021-01-22 00:00:00-05:00,371.1996091728723,373.02526536055854,370.80145822680436,371.8114013671875,52860500,0.0,0.0,0.0
2021-01-25 00:00:00-05:00,372.57855366677796,373.6467302209369,367.5191474499561,373.2777404785156,70402000,0.0,0.0,0.0
2021-01-26 00:00:00-05:00,374.26832316757327,374.69560573515065,372.45238707304753,372.6951599121094,42665300,0.0,0.0,0.0
2021-01-27 00:00:00-05:00,369.22834189431114,369.32545695312405,361.25569047620394,363.5863037109375,123351100,0.0,0.0,0.0
2021-01-28 00:00:00-05:00,365.4798909388473,370.88887634807577,365.02350649839696,366.71319580078125,94198100,0.0,0.0,0.0
2021-01-29 00:00:00-05:00,364.7709684512449,365.78091153139655,357.62372227414437,359.3717041015625,126765100,0.0,0.0,0.0
2021-02-01 00:00:00-05:00,362.916189401069,366.4315346576487,359.67274848380066,365.3536376953125,75817600,0.0,0.0,0.0
2021-02-02 00:00:00-05:00,368.6747994338812,372.14160242451345,365.4410785030644,370.5198669433594,64450700,0.0,0.0,0.0
2021-02-03 00:00:00-05:00,371.3841280068641,372.6077124255952,369.4807975163341,370.8111877441406,52427100,0.0,0.0,0.0
